ranking_companies,unicorn,date_joined,country,city,industry,selected_investors,value,lat,lng,capital,population,id_city,year
284,FlixMobility,2019-07-18,Germany,Munich,Auto & transportation,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",3.0,48.1372,11.5755,admin,1471508.0,1276692352,2019
285,Wildlife Studios,2019-12-05,Brazil,Sao Paulo,Other,"Benchmark, Bessemer Venture Partners",3.0,-23.5504,-46.6339,admin,22046000.0,1076532519,2019
286,ApplyBoard,2020-05-05,Canada,Kitchener,Edtech,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",3.2,43.4186,-80.4728,,470015.0,1124158530,2020
287,Forter,2020-11-19,United States,New York,Cybersecurity,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",3.0,40.6943,-73.9249,,18713220.0,1840034016,2020
288,Calendly,2021-01-26,United States,Atlanta,Internet software & services,"ICONIQ Capital, OpenView Venture Partners",3.0,33.7627,-84.4224,admin,5449398.0,1840013660,2021
289,BlockFi,2021-03-11,United States,Jersey City,Fintech,"ConsenSys Ventures, Valar Ventures, PUC",3.0,40.7161,-74.0682,,262075.0,1840003600,2021
290,ActiveCampaign,2021-04-21,United States,Chicago,Internet software & services,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",3.0,41.8373,-87.6862,,8604203.0,1840000494,2021
291,CMR Surgical,2019-09-17,United Kingdom,Cambridge,Health,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",3.0,52.2053,0.1192,,66.0,1826229713,2019
292,Lucid Software,2021-06-29,United States,South Jordan,Internet software & services,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",3.0,40.557,-111.9782,,76598.0,1840021385,2021
293,Age of Learning,2016-05-03,United States,Glendale,Edtech,Iconiq Capital,3.0,33.5791,-112.2311,,252381.0,1840020563,2016
294,Carbon Health,2021-07-21,United States,San Francisco,Health,"Brookfield Asset Management, Blackstone, Data Collective",3.0,37.7562,-122.443,,3592294.0,1840021543,2021
295,Contentful,2021-07-28,Germany,Berlin,Internet software & services,"Balderton Capital, General Catalyst, Tiger Global Management",3.0,52.5167,13.3833,primary,3644826.0,1276451290,2021
296,LaunchDarkly,2021-08-10,United States,Oakland,Internet software & services,"Uncork Capital, Threshold Ventures, Bloomberg Beta",3.0,37.7903,-122.2165,,433031.0,1840020296,2021
297,Seismic,2018-12-18,United States,San Diego,Internet software & services,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",3.0,32.8312,-117.1225,,3220118.0,1840021990,2018
298,Grafana Labs,2021-03-25,United States,New York,Internet software & services,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",3.0,40.6943,-73.9249,,18713220.0,1840034016,2021
299,Gorillas,2021-03-25,Germany,Berlin,E-commerce & direct-to-consumer,"Coatue Management, Atlantic Food Labs, DST Global",3.1,52.5167,13.3833,primary,3644826.0,1276451290,2021
300,Sky Mavis,2021-10-04,Vietnam,Ho Chi Minh City,Internet software & services,"Fabric Ventures, 500 Global, Standard Crypto",3.0,10.8167,106.6333,admin,13312000.0,1704774326,2021
301,Outschool,2021-04-14,United States,San Francisco,Edtech,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",3.0,37.7562,-122.443,,3592294.0,1840021543,2021
